,tr_main_law,tr_draft,tr_category
457,About education,About the draft Law,Empty
458,On the procedure for conducting checks of business entities,On amendments to the Law of the Kyrgyz Republic,About the draft Law
459,"On measures to prevent harm to the health of children, their physical, intellectual, mental, spiritual and moral development in the Kyrgyz Republic, ”about the media”) "")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (the Code of Offenses and Laws
460,"On state guarantees to ethnic Kyrgyz, moving to the Kyrgyz Republic",On amendments to the Law of the Kyrgyz Republic,About the draft Law
461,"On the accession of the Kyrgyz Republic to the Convention on the International Procedure of Alimony for Children and other forms of family content adopted in the Hague on November 23, 2007",About the draft law,Empty
462,"On ratification of a credit agreement (regular transactions on preferential terms) (a project to strengthen regional security in the field of healthcare) between the Kyrgyz Republic and the Asian Bank for Development and the Grant Agreement (Special Operations) (a project to strengthen the regional security in the field of healthcare) between the Kyrgyz Republic and the Asian The development bank signed on December 7, 2022 in the city of Bishkek",About the draft Law,Empty
463,"Reconstruction of the Lebedinovskaya hydroelectric power station ”) and a grant agreement between the Kyrgyz Republic, the open -stock company of the Chakan Hydroelectric Power Station” and the European Bank for Reconstruction and Development (the reconstruction of the Lebedinovskaya hydroelectric power station ”), signed on March 3, 2023 in the city of London”",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development (draft
464,"On the universal military duty of citizens of the Kyrgyz Republic, on military and alternative services",On amendments to the Law of the Kyrgyz Republic,About the draft Law
465,"On the accession of the Kyrgyz Republic to the agreement on the adoption of the coordinated technical rules of the United Nations for wheeled vehicles, items of equipment and units that can be established and/or used on wheeled vehicles, and on the conditions of mutual recognition of official statements issued on the basis of these rules United Nations, perfect in the city of Geneva on March 20, 1958",About the draft Law,Empty
466,On amendments to some decisions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
467,On amendments to the Criminal Code of the Kyrgyz Republic),About the draft Law,Empty
468,On amendments to the Code of the Kyrgyz Republic on offenses,About the draft Law,Empty
469,About science,About the draft Law,Empty
470,On amendments to some legislative acts of the Kyrgyz Republic in the field of public procurement,About the draft Law,Empty
471,"On the state monopoly on the production, import, storage and sale of ethyl alcohol and state regulation of alcohol production",About the draft Law,Empty
472,On strategic objects of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
473,On the municipal ownership of property,On amendments to the Law of the Kyrgyz Republic,About the draft Law
474,About the pledge,On amendments to the Law of the Kyrgyz Republic,About the draft Law
475,About physical education and sports,On amendments to the Law of the Kyrgyz Republic,About the draft Law
476,"On improving the organization of nutrition, students in educational organizations","On the implementation of Resolution No. 382-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 30, 2022",On the draft resolution of the Jogorku Kenesh
477,About the seeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
478,On customs regulation,On amendments to the Law of the Kyrgyz Republic,About the draft Law
479,On amendments to some legislative acts of the Kyrgyz Republic on state control in the checkpoints on the state border of the Kyrgyz Republic,About the draft Law,Empty
480,"On the ratification of the agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions for the construction, creation and functioning of joint educational organizations in the Kyrgyz Republic, engaged in Russian, signed on March 29, 2023 in the city of Bishkek",About the draft Law,Empty
481,"On the ratification of the agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions for the construction, creation and functioning of joint educational organizations in the Kyrgyz Republic, engaged in Russian, signed on March 29, 2023 in the city of Bishkek",About the draft Law,Empty
482,"On the ratification of the agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions for the construction, creation and functioning of joint educational organizations in the Kyrgyz Republic, engaged in Russian, signed on March 29, 2023 in the city of Bishkek",About the draft Law,Empty
483,"On ratification of the agreement on the establishment of the Eurasian reinsurance company signed on October 20, 2022 in the city of Yerevan",About the draft Law,Empty
484,"On the approval of the compositions of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII of January 13, 2022",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
485,On the state language of the Kyrgyz Republic,About the draft Law,Empty
486,On amendments to the Code of Criminal Procedure of the Kyrgyz Republic,About the draft Law,Empty
487,On the status of judges of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
488,On the Supreme Court of the Kyrgyz Republic and local courts,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
489,"On ratification of a bilateral investment agreement between the Government of the Kyrgyz Republic and the Government of the Republic of India, signed on June 14, 2019 in the city of Bishkek",About the draft Law,Empty
490,"On ratification of a bilateral investment agreement between the Government of the Kyrgyz Republic and the Government of the Republic of India, signed on June 14, 2019 in the city of Bishkek",About the draft Law,Empty
491,"On ratification of a credit agreement (regular transactions on preferential terms) (a project to strengthen regional security in the field of healthcare) between the Kyrgyz Republic and the Asian Bank for Development and the Grant Agreement (Special Operations) (a project to strengthen the regional security in the field of healthcare) between the Kyrgyz Republic and the Asian The development bank signed on December 7, 2022 in the city of Bishkek",About the draft Law,Empty
492,"Reconstruction of the Lebedinovskaya hydroelectric power station ”) and a grant agreement between the Kyrgyz Republic, the open -stock company of the Chakan Hydroelectric Power Station” and the European Bank for Reconstruction and Development (the reconstruction of the Lebedinovskaya hydroelectric power station ”), signed on March 3, 2023 in the city of London”",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development (draft
493,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
494,On the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
495,About the prosecutor's office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
496,On amendments to the Code of Criminal Procedure of the Kyrgyz Republic,About the draft Law,Empty
497,On protection against inaccurate (false) information,On amendments to the Law of the Kyrgyz Republic,About the draft Law
